cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER WARGA JEPUN,W.P. Kuala Lumpur,LEMBAH PANTAI,3/1/2020,3/9/2020,import,ended,0,3,0,267,0,0,3,,
KLUSTER KAMPUNG BARU,W.P. Kuala Lumpur,TITIWANGSA,5/1/2020,15/3/2020,community,ended,0,24,0,5188,0,1,23,,
KLUSTER BENTENG LD,Sabah,"LAHAD DATU, TAWAU, SANDAKAN, KINABATANGAN & TUARAN",9/1/2020,15/11/2020,import,ended,0,1146,0,16592,0,1,1145,,
KLUSTER JALAN MERU,"Johor,Kelantan,Pahang,Perak,Selangor","HULU LANGAT, KLANG, GOMBAK, PETALING, HULU SELANGOR, KUALA SELANGOR, JOHOR BAHRU, BATU PAHAT, KOTA BHARU, TITIWANGSA, LEMBAH PANTAI, KEPONG, CHERAS, TEMERLOH & MUALLIM",10/1/2020,11/2/2020,community,ended,0,143,0,1139,0,0,143,,
KLUSTER JOO HWA,Sabah,TAWAU,10/1/2020,10/3/2020,community,ended,0,7,0,379,0,0,7,,
KLUSTER BAH KETIL,Kedah,"BALING, LANGKAWI & KUALA MUDA",10/1/2020,14/10/2020,community,ended,0,15,0,490,0,0,15,,
KLUSTER SELASIH,"Johor,Negeri Sembilan,Selangor,W.P. Putrajaya","PUTRAJAYA, SEPANG, JOHOR BAHRU & SEREMBAN ",10/1/2020,15/10/2020,community,ended,0,20,0,290,0,0,20,,
KLUSTER TEMBAGA,Pulau Pinang,TIMUR LAUT & BARAT DAYA,11/1/2020,26/11/2020,community,ended,0,16,0,211,0,0,16,,
KLUSTER USAHA,"Johor,Perak,Selangor,W.P. Kuala Lumpur","KLANG, PETALING, KUALA LANGAT,  LEMBAH PANTAI, KEPONG, KUALA SELANGOR, SEPANG, SEGAMAT & PERAK TENGAH",11/1/2020,2/3/2021,workplace,ended,0,589,0,879,0,0,589,,
KLUSTER VIEW KOLOMBONG,Sabah,KOTA KINABALU & TUARAN,12/1/2020,12/11/2020,workplace,ended,0,53,0,104,0,0,53,,
KLUSTER TALANG-TALANG,Sabah,KOTA KINABALU,12/1/2020,12/11/2020,workplace,ended,0,26,0,71,0,0,26,,
"KLUSTER TAHFIZ INTEGRASI IBNU SOLEH, LANCHANG",Pahang,TEMERLOH,5/2/2020,5/2/2020,religious,ended,0,6,0,32,0,0,6,,
KLUSTER PEDAS,"Melaka,Negeri Sembilan","ALOR GAJAH, SEREMBAN, PORT DICKSON & REMBAU",5/2/2020,4/12/2020,workplace,ended,0,326,0,960,0,0,326,,
KLUSTER PANGSAPURI CHERAS,"Selangor,W.P. Kuala Lumpur","CHERAS, KEPONG & HULU LANGAT",6/2/2020,26/5/2020,community,ended,0,8,0,715,0,0,8,,
KLUSTER SERI ANGGERIK,Selangor,HULU SELANGOR & KUALA SELANGOR,10/2/2020,20/10/2020,community,ended,0,24,0,96,0,0,24,,
